"Country Name","Country Code","Indicator Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aruba","ABW","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405586592.178771,487709497.206704,596648044.692737,695530726.256983,764804469.273743,872067039.106145,958659217.877095,1083240223.46369,1245810055.86592,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722905027.93296,1873452513.96648,1896456983.24022,1961843575.41899,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664,NA
"Afghanistan","AFG","GDP (current US$)",537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3825701405.51958,4520946849.32079,5224896718.67782,6203256497.09044,6971758332.88917,9747886104.53251,10109296957.6569,12416152648.0573,15856668496.388,17805098367.2952,19907329905.9776,20146416876.3886,20497128600.3363,19134221744.5294,18116572399.1298,18753456506.5708,18053222734.8881,18799444414.5998,19955929060.841,14266499429.8746,NA,NA
"Angola","AGO","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5934073603.67893,5553824463.8796,5553824463.8796,5787823808.69565,6135166254.1806,7558613008.02675,7076793822.74247,8089279284.61538,8775116269.23077,10207922517.0569,11236275842.8094,10401188707.2808,8307826847.39834,6084688935.80032,4438321017.39068,5538749259.94714,6535434716.00224,7675412600.66513,6506381416.53236,6152922942.24539,9129594815.57661,8936079251.42093,15285592486.2532,17812704627.0282,23552057820.4599,36970901023.7893,52381025102.321,65266415706.9741,88538664884.265,70307196474.1272,83799473759.7201,111789747670.59,128052915202.989,132339108708.408,135966802156.542,90496420626.179,52761617225.9253,73690155046.555,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243,106782770714.619,NA
"Albania","ALB","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857337995.338,1897050116.55012,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880950864.41311,2392764853.42107,3199640815.4163,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,12881352893.6855,12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,NA
"Andorra","AND","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78617711.0965325,89406608.1458151,113414397.365635,150841639.297444,186557081.998137,220112572.205331,227283850.831271,253997897.226968,308020261.164149,411548748.354729,446377776.798001,388983266.199886,375914743.581006,327850042.515872,330073080.637098,346742714.675152,481996012.869071,611299924.540506,721425939.15155,795489582.04491,1028989692.06787,1106891361.53948,1209992020.29543,1007090269.86956,1017544068.8408,1178745282.8678,1224024139.21295,1180645571.8643,1211953994.05714,1239840639.57248,1429047881.84275,1546912331.8807,1755989353.9328,2361636235.17833,2895047587.11888,3159826891.50873,3456264324.63015,3952395030.09698,4085780202.87838,3674190066.44504,3449925693.58181,3629133062.55168,3188653258.61001,3193513470.43941,3271686452.47686,2789882569.1005,2896611878.6258,3000160414.63795,3218418631.67579,3155150255.91195,2891002460.29153,3325143693.28714,3352031094.22914,NA
"United Arab Emirates","ARE","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14720728248.5355,19213158778.7928,24871775164.6043,23775764224.6832,31225659620.9951,43599160050.3322,49333424135.1131,46622718605.2847,42803323345.1376,41807954235.903,40603650231.5445,33943612094.7971,36384908744.2114,36275674203.2144,41464995913.9199,50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,300189052694.029,360832739558.385,384610125384.033,400218529747.597,414105366758.911,370275469560.166,369255326235.771,390516804016.501,427049432149.345,417989721734.494,349473015336.939,415178792769.884,507063968273.313,NA
"Argentina","ARG","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0949e+11,112988571428.571,88416666666.6667,106213829787.234,109029439252.336,1.26928e+11,76629657863.6557,141352654305.163,189719984268.485,228778917308.17,236741715015.015,2.5744e+11,258031750000,272149750000,2.92859e+11,298948250000,2.83523e+11,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944,NA
"Armenia","ARM","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256863448.77086,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,NA
"American Samoa","ASM","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12e+08,5.24e+08,5.09e+08,5e+08,4.93e+08,5.18e+08,5.6e+08,6.75e+08,5.73e+08,5.7e+08,6.4e+08,6.38e+08,6.43e+08,6.73e+08,6.71e+08,6.12e+08,6.39e+08,6.47e+08,7.21e+08,7.5e+08,8.71e+08,NA
"Antigua and Barbuda","ATG","GDP (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77496753.7037037,87879341.4814815,109079978.888889,131431026.666667,147841734.444444,164369278.888889,182144092.962963,208372846.296296,240923924.814815,290440140.740741,337174861.851852,398637727.777778,438794788.518519,459470370.37037,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,NA
